FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202911000,11,11,U,93,113,98,4865,22787914,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,301110020,11,11,U,20,53,50,140,664796,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,199,1,8,2,301110090,11,11,U,13263,322,300,8253,39532881,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,2,2,8,2,3923302000,11,11,U,163584,2789,2462,1636,8054876,0,3200,21,51
2301,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,106131100,11,11,U,3,57,30,150,732849,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,104,2,8,2,106131200,11,11,U,1,20,10,50,244283,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,2,8,2,901211000,25,33,KG,15,16,15,50,227296,0,30,20,0
2301,3,23,DEU,3,BOG,11,3,253,1,198,1,6,1,603129000,11,11,U,24040,913,758,4568,21427023,4450,0,0,0
2301,3,23,DEU,3,BOG,11,3,253,1,198,1,6,2,603110000,11,11,U,8800,557,176,2544,11546987,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,253,1,198,1,8,1,603900000,11,11,U,5772,220,214,9065,42550081,7279,0,0,0
2301,3,23,DEU,3,BOG,11,3,573,1,198,1,6,1,603129000,11,11,U,13120,510,425,2427,11386214,2363,0,0,0
2301,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603121000,11,11,U,6660,207,183,1152,5558936,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,573,1,198,1,6,2,603129000,11,11,U,73760,2688,2264,13306,62872905,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,573,1,198,1,8,1,603129000,11,11,U,76200,2779,2388,13716,68268729,13391,0,0,0
2301,3,23,DEU,3,BOG,11,3,573,1,2,2,8,2,3920209000,11,33,KG,293,325,293,1561,7325816,0,848,24,725
2301,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,6307904000,11,11,U,7,9,5,43,203997,0,5,0,0
2301,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9031499000,11,11,U,1,115,62,16867,80094574,0,2061,36,0
2301,3,23,DEU,3,BOG,11,5,245,1,104,2,8,2,9031900000,11,11,U,20,442,238,1929,9160788,0,236,4,0
2301,3,23,DEU,3,BOG,11,5,275,1,104,2,8,2,8543709000,76,11,U,1,171,153,12977,62421196,0,0,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,603129000,11,11,U,17600,645,585,3183,14934153,3095,0,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,6,1,7007210000,11,11,U,13,1161,827,9429,44759342,6476,8222,200,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603121000,11,11,U,2700,105,86,451,2114509,0,0,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603129000,11,11,U,14400,530,452,2554,12173426,0,0,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,6,2,603193000,11,11,U,100,9,7,1,4691,0,0,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,1,603129000,11,11,U,32000,1140,1037,5760,28739981,5623,0,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,804200000,11,33,KG,9,11,9,25,118239,0,22,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,804501000,11,33,KG,27,33,27,85,396477,0,74,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810901030,11,33,KG,277,343,277,675,3167127,0,594,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810902000,11,33,KG,54,67,54,198,929024,0,174,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810903000,11,33,KG,168,208,168,462,2167722,0,406,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810904000,11,33,KG,104,129,104,362,1697580,0,318,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810905000,11,33,KG,1391,1725,1391,5387,25274612,0,4738,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810909010,11,33,KG,10,12,10,80,375363,0,70,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,198,1,8,2,810909020,11,33,KG,20,25,20,76,356595,0,67,0,0
2301,3,23,DEU,3,BOG,11,7,827,1,199,1,6,1,7007210000,11,11,U,2,320,188,3517,15940159,2825,2012,56,0
2301,3,23,DEU,3,BOG,11,7,827,1,104,2,6,2,7007210000,11,11,U,5,197,165,271,1232325,0,1392,50,0
2301,3,23,DEU,3,BOG,11,7,827,1,199,2,6,1,7007210000,11,11,U,1,201,143,919,4165539,605,1534,50,0
2301,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603121000,11,11,U,12000,482,442,2280,10695685,2221,0,0,0
2301,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,603129000,11,11,U,24000,948,868,4589,21526474,4472,0,0,0
2301,3,23,DEU,3,BOG,11,8,618,1,198,1,6,1,7007210000,11,11,U,57,2596,1934,48222,232997113,41133,15228,657,0
2301,3,23,DEU,3,BOG,11,8,618,1,198,1,6,2,603110000,11,11,U,984,82,76,403,1967455,0,0,0,0
2301,3,23,DEU,3,BOG,11,8,618,1,198,1,8,1,603129000,11,11,U,23240,881,798,4183,20437693,4084,0,0,0
2301,3,23,DEU,3,BOG,11,8,618,1,198,2,6,2,7007210000,11,11,U,1,103,52,372,1800546,0,491,9,0
2301,3,23,DEU,3,BOG,11,9,149,1,198,1,6,1,7007210000,11,11,U,24,2226,1801,29454,143901692,25713,14955,449,0
2301,3,23,DEU,3,BOG,11,9,149,1,198,2,8,2,8703229090,76,11,U,1,1079,1079,8963,41513389,0,0,0,0
2301,3,23,DEU,3,BOG,11,9,149,4,201,2,8,2,8525890000,11,11,U,6,3,3,42000,197065680,0,983,210,0
2301,3,23,DEU,3,BOG,11,9,169,1,198,1,6,2,603121000,11,11,U,850,22,20,133,621569,0,0,0,0
2301,3,23,DEU,3,BOG,11,9,169,1,198,1,6,2,603129000,11,11,U,7350,236,213,1206,5655109,0,0,0,0
2301,3,23,DEU,3,BOG,11,9,169,1,198,1,6,2,603199090,11,11,U,200,18,16,150,703664,0,0,0,0
2301,3,23,DEU,3,BOG,11,9,249,1,198,1,8,1,603129000,11,11,U,24320,834,809,3502,17244242,3336,0,0,0
2301,3,23,DEU,3,BOG,11,9,249,1,198,1,8,2,301110090,11,11,U,31977,814,651,6652,30848536,0,6041,0,0
2301,3,23,DEU,3,BOG,11,9,249,1,199,1,8,2,301110090,11,11,U,50315,1531,1225,12598,59065205,0,7331,0,0
2301,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810901020,15,33,KG,1414,1848,1414,7976,36256963,0,0,0,0
2301,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810903000,15,33,KG,208,272,208,567,2578457,0,0,0,0
2301,3,23,DEU,3,BOG,15,3,573,1,198,1,8,2,810905000,15,33,KG,22273,29113,22273,93158,423490679,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,23,1,198,1,8,2,602909000,25,11,U,42426,1544,1068,73664,333987593,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,23,1,199,1,8,2,1302199100,25,33,KG,62,127,62,165849,816639294,0,1872,66,0
2301,3,23,DEU,3,BOG,25,3,23,1,199,1,8,2,2907299000,25,33,KG,30,62,30,106999,526864061,0,1208,42,0
2301,3,23,DEU,3,BOG,25,3,253,1,198,1,8,2,603110000,25,11,U,4050,50,45,851,3866322,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603121000,25,11,U,19800,577,521,3222,15150048,3218,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603129000,25,11,U,123800,4330,3944,22004,104369872,21848,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,1,603149000,25,11,U,12760,629,254,3854,17491779,3804,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,804200000,25,33,KG,15,19,15,86,415158,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,804502000,25,33,KG,522,614,522,4070,18523107,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,810901010,25,33,KG,223,277,223,1690,8086625,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,810901020,25,33,KG,13,16,13,78,375012,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,810902000,25,33,KG,34,40,34,219,995945,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,810903000,25,33,KG,13,16,13,71,341357,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,810904000,25,33,KG,185,219,185,1449,6608921,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,1,8,2,810905000,25,33,KG,36,45,36,230,1107729,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,104,2,8,2,9031809000,11,11,U,1,933,933,4000,19542640,0,3452,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,2,8,2,603141000,25,11,U,100,13,4,0,470,0,0,0,0
2301,3,23,DEU,3,BOG,25,3,573,1,198,2,8,2,603149000,25,11,U,100,13,4,0,470,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,804200000,25,33,KG,75,93,75,223,1070949,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,804501000,25,33,KG,50,62,50,122,585596,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,804502000,25,33,KG,160,189,160,1235,5605554,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810901010,25,33,KG,580,719,580,2857,13610970,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810901020,25,33,KG,388,483,388,1550,7452168,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810901030,25,33,KG,42,52,42,126,605789,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810901040,25,33,KG,10,12,10,22,103657,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810902000,25,33,KG,33,40,33,213,978477,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810903000,25,33,KG,63,78,63,179,858201,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810904000,25,33,KG,188,228,188,1460,6805267,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810905000,25,33,KG,852,1062,852,3687,17725101,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810909010,25,33,KG,6,7,6,24,113225,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810909020,25,33,KG,15,19,15,50,240585,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,1,8,2,810909090,25,33,KG,38,47,38,250,1203838,0,0,0,0
2301,3,23,DEU,3,BOG,25,5,245,1,198,2,8,2,810905000,25,33,KG,2,2,2,1,4842,0,0,0,0
2301,3,23,DEU,3,BOG,25,7,827,1,198,1,8,1,603141000,25,11,U,300,19,12,72,326286,71,0,0,0
2301,3,23,DEU,3,BOG,25,7,827,1,198,1,8,1,603149000,25,11,U,4500,224,145,1409,6385236,1391,0,0,0
2301,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,603110000,25,11,U,3600,44,40,756,3636511,0,0,0,0
2301,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,804502000,25,33,KG,744,815,744,5920,26912860,0,0,0,0
2301,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,810901010,25,33,KG,155,168,155,1080,4907594,0,0,0,0
2301,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,810902000,25,33,KG,160,170,160,1038,4714308,0,0,0,0
2301,3,23,DEU,3,BOG,25,7,827,1,198,1,8,2,810904000,25,33,KG,313,346,313,2269,10314552,0,0,0,0
2301,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,603121000,25,11,U,16320,542,526,3917,19136153,3802,0,0,0
2301,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,603129000,25,11,U,33467,1106,1073,8701,42512180,8465,0,0,0
2301,3,23,DEU,3,BOG,25,8,618,1,198,1,8,1,603193000,25,11,U,15680,1150,560,4704,22114443,4398,0,0,0
2301,3,23,DEU,3,BOG,25,9,249,1,198,1,6,1,603129000,11,11,U,15200,461,342,2432,11415784,2366,0,0,0
2301,3,23,DEU,3,BOG,25,9,249,1,198,1,8,2,810904000,25,33,KG,3370,3762,3370,27540,132408189,0,0,0,0
2301,3,23,DEU,3,BOG,25,9,249,1,198,2,8,2,602109000,25,11,U,870,5,3,9,40295,0,0,0,0
2301,3,23,DEU,3,BOG,50,3,23,1,198,1,8,2,301110020,50,11,U,215,61,50,30,136167,0,0,0,0
2301,3,23,DEU,3,BOG,50,3,23,1,198,1,8,2,301110090,50,11,U,63192,592,500,7129,32669659,0,0,0,0
2301,3,23,DEU,3,BOG,76,9,249,1,198,1,8,1,3923299000,76,11,U,735500,300,223,5029,22931131,3925,1992,37,37
2301,3,26,ARM,3,BOG,11,8,618,1,198,1,8,1,603121000,11,11,U,550,15,12,102,471326,99,0,0,0
2301,3,26,ARM,3,BOG,11,8,618,1,198,1,8,1,603129000,11,11,U,1400,43,35,259,1199740,256,0,0,0
2301,3,26,ARM,3,BOG,11,8,618,1,198,1,8,2,603121000,11,11,U,5990,189,173,958,4439500,0,0,0,0
2301,3,26,ARM,3,BOG,11,8,618,1,198,1,8,2,603129000,11,11,U,57900,1735,1592,8832,40911590,0,0,0,0
2301,3,26,ARM,3,BOG,11,8,618,1,198,1,8,2,603192000,11,11,U,120,34,30,306,1526811,0,0,0,0
2301,3,26,ARM,3,BOG,11,8,618,1,198,1,8,2,603193000,11,11,U,240,172,153,768,3831997,0,0,0,0
2301,3,26,ARM,3,BOG,11,8,618,1,198,1,8,2,603199090,11,11,U,90,78,69,207,1032843,0,0,0,0
2301,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,603193000,11,11,U,7104,485,432,2323,10898387,0,0,0,0
2301,3,26,ARM,3,BOG,11,9,169,1,198,1,8,2,603199090,11,11,U,300,76,68,357,1674719,0,0,0,0
2301,3,26,ARM,3,BOG,25,3,573,1,198,2,8,2,603141000,25,11,U,100,6,5,0,489,0,0,0,0
2301,3,26,ARM,3,BOG,25,3,573,1,198,2,8,2,603149000,25,11,U,100,6,5,0,489,0,0,0,0
2301,3,26,ARM,3,BOG,25,8,618,1,198,1,5,2,603141000,25,11,U,50,23,10,81,398844,0,0,0,0
2301,3,26,ARM,3,BOG,25,8,618,1,198,1,5,2,603149000,25,11,U,300,11,5,86,425434,0,0,0,0
2301,3,26,ARM,3,BOG,25,8,618,1,198,1,8,1,603121000,25,11,U,350,13,5,53,238662,51,0,0,0
2301,3,26,ARM,3,BOG,25,9,169,1,198,1,8,2,603121000,25,11,U,2800,104,32,447,2099622,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603110000,11,11,U,1945,46,44,1382,6260975,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603121000,11,11,U,1442,120,115,990,4487475,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603141000,11,11,U,1707,96,92,749,3394961,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603193000,11,11,U,429,48,46,210,952710,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,603199090,11,11,U,948,96,92,565,2559804,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,4,2,604900000,11,33,KG,184,192,184,2306,10451938,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603110000,11,11,U,4571,219,200,1406,7016447,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603121000,11,11,U,228,11,10,137,681227,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603129000,11,11,U,685,33,30,239,1192160,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603141000,11,11,U,913,44,40,164,817493,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603191000,11,11,U,457,22,20,76,381503,0,0,0,0
2301,3,27,ABW,3,BOG,11,0,580,1,198,1,8,2,603199090,11,11,U,9598,460,420,2407,12010019,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,6,2,603110000,11,11,U,4230,178,170,1269,5772047,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,6,2,603199090,11,11,U,4510,259,248,2294,10431985,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,6,2,604200000,11,33,KG,125,131,125,788,3586037,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,603110000,11,11,U,8854,362,330,2240,10941631,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,603129000,11,11,U,2415,99,90,1224,5982051,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,603141000,11,11,U,805,33,30,142,695571,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,603191000,11,11,U,1074,44,40,399,1947668,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,603199010,11,11,U,1074,44,40,51,250390,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,603199090,11,11,U,8317,340,310,2010,9821789,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,810901030,11,33,KG,66,77,66,32,151953,0,31,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,810904000,11,33,KG,90,105,90,511,2426504,0,489,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,198,1,8,2,910999000,11,33,KG,94,109,94,497,2360499,0,475,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,199,1,8,2,709590000,11,33,KG,40,47,40,153,726337,0,146,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,199,1,8,2,709999000,11,33,KG,2,2,2,16,74362,0,15,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,199,1,8,2,1211903000,11,33,KG,6,6,6,30,140509,0,28,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,199,1,8,2,1211909000,11,33,KG,1627,1894,1627,7676,36451882,0,7341,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,104,2,8,2,3923299000,11,11,U,1,0,0,3,13091,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,104,2,8,2,4816900000,11,33,KG,17,17,17,456,2139570,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,104,2,8,2,4821100000,11,33,KG,51,51,51,179,840814,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,104,2,8,2,4821900000,11,33,KG,4,4,4,6,29231,0,0,0,0
2301,3,27,ABW,3,BOG,11,9,239,1,104,2,8,2,4901999000,11,11,U,50,1,1,97,457005,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603110000,25,11,U,13000,224,204,15249,69106604,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603121000,25,11,U,250,7,4,35,158862,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603129000,25,11,U,3500,26,24,1147,5196784,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603141000,25,11,U,140,7,4,98,445903,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603191000,25,11,U,1380,47,40,541,2452944,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603193000,25,11,U,2150,150,123,1040,4710947,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603199010,25,11,U,30,7,4,17,74892,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,603199090,25,11,U,2630,769,639,6666,30208995,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,604200000,25,33,KG,128,154,128,2055,9313928,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,702000000,25,33,KG,60,64,60,127,588614,0,171,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,703100090,25,33,KG,70,74,70,164,759865,0,221,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,198,1,8,2,705190000,25,33,KG,168,179,168,380,1757478,0,510,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,199,1,8,2,702000000,25,33,KG,40,43,40,152,727840,0,47,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,199,1,8,2,703100090,25,33,KG,65,69,65,267,1276388,0,91,0,0
2301,3,27,ABW,3,BOG,25,9,239,1,199,1,8,2,705190000,25,33,KG,168,179,168,681,3259858,0,210,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603110000,25,11,U,15000,392,356,18240,85618378,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603121000,25,11,U,200,7,4,28,127089,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603129000,25,11,U,4925,56,48,2632,12348068,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603141000,25,11,U,180,7,4,32,147061,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603191000,25,11,U,1700,60,52,765,3580340,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603193000,25,11,U,2500,484,403,1860,8730821,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603199010,25,11,U,30,7,4,18,81700,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,603199090,25,11,U,4062,1390,1152,7103,33320890,0,0,0,0
2301,3,27,ABW,3,BOG,25,9,249,1,198,1,8,2,604200000,25,33,KG,184,212,184,3673,17048079,0,0,0,0
2301,3,27,ABW,3,BOG,68,7,27,1,198,1,8,2,2710191500,5,67,M3,261,211118,211118,216715,1048656081,0,0,0,0
2301,3,27,ABW,3,BOG,68,7,27,1,198,1,8,2,2710191500,8,67,M3,1,948,948,964,4638380,0,0,0,0
2301,3,27,ABW,3,BOG,68,7,27,1,198,1,8,2,2710191500,68,67,M3,10,9282,7735,11531,52579758,0,0,0,0
2301,3,29,BIH,3,BOG,11,3,573,1,198,1,8,2,603193000,11,11,U,32,22,20,106,526900,0,0,0,0
2301,3,29,BIH,3,BOG,11,9,169,1,198,1,8,1,603110000,11,11,U,2350,137,132,643,2978505,546,0,0,0
2301,3,29,BIH,3,BOG,25,9,169,1,198,1,8,1,603129000,25,11,U,1200,27,10,184,834635,175,0,0,0
2301,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,603110000,25,11,U,31445,1785,528,9011,42298060,0,0,0,0
2301,3,29,BIH,3,BOG,25,9,169,1,198,1,8,2,603121000,25,11,U,4500,135,40,540,2534755,0,0,0,0
2301,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,3923210000,25,11,U,100,20,19,142,665107,0,0,0,0
2301,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,4202111000,25,11,U,20,15,15,1031,4827644,0,0,0,0
2301,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,4202210000,25,11,U,37,29,27,1412,6615891,0,0,0,0
2301,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,4202310000,25,11,U,57,44,42,773,3620429,0,0,0,0
2301,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,4202911000,25,11,U,18,14,13,1722,8066386,0,0,0,0
2301,3,43,ATG,3,BOG,25,9,249,1,198,1,8,2,4202919000,25,11,U,65,50,48,1231,5765445,0,0,0,0
2301,3,53,SAU,3,BOG,5,7,827,1,198,1,8,2,603199010,5,11,U,6612,1083,975,4651,21817790,0,0,0,0
2301,3,53,SAU,3,BOG,5,8,618,1,198,1,6,2,603199010,5,11,U,3232,423,400,1642,7465797,0,0,0,0
2301,3,53,SAU,3,BOG,5,8,618,1,198,1,6,2,603199090,5,11,U,40,2,2,22,100011,0,0,0,0
2301,3,53,SAU,3,BOG,5,8,618,1,198,1,6,2,604200000,5,33,KG,22,24,22,288,1309231,0,0,0,0
2301,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,603199010,5,11,U,18244,2559,2386,12218,58592095,0,727,0,0
2301,3,53,SAU,3,BOG,5,8,618,1,198,1,8,2,604200000,5,33,KG,225,233,225,2020,9663816,0,0,0,0
